id,name,address,latitude,longitude,type,type_number,telephone,theme,has_parkinglot,parkinglot_count,homepage,description
147,Namhae Bridge And Noryang Bridge,"Noryang-ri, Geumnam-myeon, Hadong-gun, Gyeongsangnam-do",34.9517025,127.8776251,Tourist Attraction,,1588-3415,,Y,,,"Namhae Bridge is a 660m long and 80m high suspension bridge and is still the most beautiful bridge in Korea 40 years after its opening in 1973. Noryangdaegyo Bridge was opened on September 13, 2018 as a bridge to replace Namhaedaegyo Bridge. The length reaches 990m, 1.5 times longer than Namhae Bridge, and the height is 148.5m, and the world's first sloped tower and three-dimensional cable-type advanced technology are applied."
148,"Jukbangnyeom Fishing Facility At Jijok Strait, Namhae","65 Jukbang-ro, Samdong-myeon, Namhae-gun, Gyeongsangnam-do",34.8312904,127.9957367,Tourist Attraction,Scenic Site No. 71,055-867-2662,,Y,,,"Jukbangryum, where the primitive castle is still alive, is a fishing tool made by driving an oak tree about 10m long into the tidal flat and weaving bamboo in between. There are 23 places left in the Namhae Jipjok Strait for catching fish by spreading it in a V-shape in the direction of the flow of water."
149,Space Mijo,"254 Mijo-ro, Mijo-myeon, Namhae-gun, Gyeongsangnam-do",34.7092009,128.0462987,Tourist Attraction,,055-860-8615,,Y,,,"The old ""Mijobuk Port Frozen Warehouse"" has been reborn as a representative cultural and artistic space in the region through regeneration projects. From installation art to exhibition halls, concert halls, art creation spaces, and artist residency, it will serve as a focal point for connecting various creators to local artists."
150,Namhae Chungnyeolsa Temple,"350 Noryang-ri, Seolcheon-myeon, Namhae-gun, Gyeongsangnam-do",34.9419291,127.8761617,Tourist Attraction,Historic Site No. 233,055-862-2840,,Y,,,"A family tomb was built in the place where Admiral Yi Sun-shin was briefly invited, and a monument to Yi Chungmugong, built by Uam Song Si-yeol and written by Song Joon-gil, is erected."
151,Changseon Samcheonpo Bridge,"681-9Daebang-dong, Sacheon-si,Gyeongsangnam-do",34.9324615,128.0521049,Tourist Attraction,,055-867-5238,,Y,,,"It is the first bridge connecting islands and islands in Korea, and five bridges connecting three islands between Changseon-do Island in Namhae and Samcheonpo Island are built with a total length of 3.4km."
152,Machilus Of Changseondo Island,"670-4 Daebyeok-ri, Changseon-myeon, Namhae-gun, Gyeongsangnam-do",34.9161463,128.0125206,Tourist Attraction,Natural Monument No. 299,055-860-8631,,N,,,It is a 500-year-old royal gourd tree that boasts a dignified appearance that evokes the illusion of a small garden from a distance.
153,Namhae Fisherman Experience,"29-10 Namhae-daero 1553beon-gil, Idong-myeon, Namhae-gun, Gyeongsangnam-do",34.7637397,127.9485376,Tourist Attraction,,,,Y,,,"Light and salt pension, 3 hours, including supplies"
154,Fishermen'S Experience (Shipname Argoho),"1539-4 Namhae-daero, Idong-myeon, Namhae-gun, Gyeongsangnam-do",34.7641364,127.9486466,Tourist Attraction,,,,Y,,,3 hours on board fishing + fishing experience
155,Namhae Treasure Island Observatory,"720 Dongbu-daero, Samdong-myeon, Namhae-gun, Gyeongsangnam-do",34.769833,128.0533244,Tourist Attraction,,0507-1377-0047,,Y,,,
156,Namhae Naesan Playland,"373 Geumam-ro, Samdong-myeon, Namhae-gun, Gyeongsangnam-do",34.7735036,128.0167708,Tourist Attraction,,055-867-4377,,Y,,,
157,Yi Sun-Shin Film Center,"3829 Namhae-daero, Gohyeon-myeon, Namhae-gun, Gyeongsangnam-do",34.9119328,127.8559065,Tourist Attraction,,055-860-3786,,Y,,,
158,Namhae Cheondan Sculpture Park,"32-67 Seolcheon-ro 17beon-gil, Seolcheon-myeon, Namhae-gun, Gyeongsangnam-do",34.9248248,127.9140253,Tourist Attraction,,055-863-4474,,Y,,,
159,Namhae Bridge Cruise Ship Marine Land,"177 Noryang-ro, Seolcheon-myeon, Namhae-gun, Gyeongsangnam-do",34.9412947,127.8728894,Tourist Attraction,,055-862-9842,,Y,,,
160,"Gilt-Bronze Standing Buddha Of Sesimsa Temple, Namhae","767-28 Heungseon-ro, Changseon-myeon, Namhae-gun, Gyeongsangnam-do",34.8848294,128.0474254,Tangible Cultural Heritage,Tangible Cultural Heritage No. 600,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship Alone",Y,,,"The Gilt-bronze Standing Buddha of Namhae Sesimsa is characterized by an appropriate body proportion, prominent U-shaped folds of clothing, pedestal decorated with ear flowers and various patterns, and Su-in, who lowered his right hand and raised his left hand.The production period of the Gilt-bronze Standing Buddha in Sesimsa is judged to be a 9th-century work with a clear tendency to decorate, and the halo disappeared and the face was worn a lot, but it is a Buddha that shows the characteristics"
161,Namhae Haegwanam Amitabha Triad And Costume Relics,"214-24 Yanghwageum-ro, Samdong-myeon, Namhae-gun, Gyeongsangnam-do",34.8195956,128.0530613,Cultural Heritage Material,Cultural Heritage Material No. 577,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone",Y,,,"A 19th-century work of great quality despite its small scale.Namhae Haegwanam 'Amita Trinity Naeyeongdo' is a feud that was enshrined in the Hall of Haegwanam Daeungjeon Hall, and has been fading due to moisture damage over many years. The glass is kept in a storage room in an unsettled state, and it has academic and artistic value as a sample collection painting. The construction process and author are unknown, but as a sacred treasure, 'Amita Trinity Naeyeongdo' is a painting that has been enshrined in the temple since the foundation of Haegwanam. Considering the style of Buddhist paintings and costumes, this work was made in the 19th century, and the main deity, Buddha Amitabha, is standing on the green lotus seat in the front hall, making an old-fashioned bond. The left and right side bodhisattvas are depicted in a three-quarter wing facing the main body, Guanyin Bodhisattva holding Jeongbyeong, Jijang Bodhisattva holding a stone scepter and holding an orb in his left hand. Although it is small in scale, the body parts are expressed overlappingly by using thin strokes with strong writing skills, and the workmanship is quite excellent. As a sample color painting, it is produced in a panel-type frame. Costume artifacts are 10 items and 24 points."
162,Hyangwan Of Hwabangsa Temple In Namhae,"126-6 Hwabangsa-gil, Gohyeon-myeon, Namhae-gun, Gyeongsangnam-do",34.866452,127.8626468,Cultural Heritage Material,Cultural Heritage Material No. 509,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Lover, Male friendship,, Filial piety, Alone",Y,,,"An offering tool believed to be a work of the first half of the 18th century.A round incense burner with a bowl-shaped body and a trumpet-shaped high pedestal is called a hyangwan. While the incense burner was mainly used for processions of monks, the incense burner was mainly used for offerings. This work is presumed to be a work of the late Joseon Dynasty, and it is a kind of mammoth that has been used as an incense tool in Buddhist temples. It belongs to the large incense burner that has been popular since the late Goryeo period in the form of a lidless type. Although there is no name given for the absolute date, it is a protected castle treasure that shows the art techniques of the first half of the 18th century."
163,Namhae Hwabangsa Samjaebu Woodblock,"126-6 Hwabangsa-gil, Gohyeon-myeon, Namhae-gun, Gyeongsangnam-do",34.866452,127.8626468,Cultural Heritage Material,Cultural Heritage Material No. 510,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Female friendship, Male friendship Alone",Y,,,"It is a precious material as a treasure trove to pray for the extinction of the heartwood in the new year, when the samjae (ß²î¬) is celebrated.This three-wood board classifies the zodiac signs into four groups (Ë£í­òã, ìÙçíâù, ÞÓë·õä, ú¤ÙÖÚ±) among the sixty-four characters, and the age corresponding to one set of bands corresponds to the three elements. On New Year's Eve, he prayed for the extinction of this samjae, and as a treasure trove, he took out this sam-eung-pan, optimizing the title of Tak-sam-jae (öòß²î¬), and made a frame and hung it on the door. Because it is a rare material, it has high preservation value."
164,Namhae Hwabang Wonpae,"126-6 Hwabangsa-gil, Gohyeon-myeon, Namhae-gun, Gyeongsangnam-do",34.866452,127.8626468,Cultural Heritage Material,Cultural Heritage Material No. 508,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Lover, Female friendship, Male friendship Alone",Y,,,"On Wonpae 1, the words ¡°Samgyesabugunjin¡± are written in yellow on a purple background, and on Wonpae 2, ¡°Long live Joseon¡¯s independence¡± is written in white letters on a black background. Wonpae 1 has a phoenix and a cloud carved on the paddle and shell, and is separated from the lotus seat. The phoenix of the paddock faces the incense seat, and the phoenix of the godhead faces downward. The pedestal is colored in the main color, and the phoenix is colored in green, white, and red ocher, but it is in a very faded state. Unlike the original tile 2, the front and back sides of the tile are not separated.In Wonpae 2, dragons and clouds are engraved on the pad and body. The lotus seat and the pedestal are connected, so they are not separated, and the front and back of the tile can be separated. The dragon on the paddle faces upwards, the dragon on the incense seat faces downwards. The head and shell are separately carved and connected, and the front and back of the board are connected with nails. After engraving, they were colored white, green, orange yellow, etc. Comparing the engraving techniques of WonPe 1 and WonPe 2, WonPe 1 has more linear expressions and seems to have been made first."
165,Namhae Hwabangsa Bankruptcy,"126-6 Hwabangsa-gil, Gohyeon-myeon, Namhae-gun, Gyeongsangnam-do",34.866452,127.8626468,Cultural Heritage Material,Cultural Heritage Material No. 507,055-860-8631,"Spring, Summer, Autumn, Private/rental, Friend, Lover, Female friendship, Male friendship, Filial piety, Alone",Y,,,"It is located on the left side of the mountain slope after going up about 20~30m after passing the Iljumun that enters the precincts of Hwabangsa Temple. The stone bridge is completely covered with moss, and the front basal section is completely exposed, which seems to pose a risk of collapse.Looking at the characteristics of Budo, it was divided into three parts: the base, the topsin, and the uppers. The base was made of two tiers by tartaring, and the upper surface of the base where the pagoda was placed was decorated by turning it with a bi-leaf soft plate.It looks like it is decorated with 7 large and bold lotus plates under the upper ring of the year-end, but if you look closely at the pattern, the lotus leaves are rolled symmetrically to each other, creating the effect of a lotus plate."
166,Namhae Hwabangsa Shiru,"126-6 Hwabangsa-gil, Gohyeon-myeon, Namhae-gun, Gyeongsangnam-do",34.866452,127.8626468,Cultural Heritage Material,Cultural Heritage Material No. 500,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Lover, Female friendship, Male friendship, Filial piety",Y,,,"Brass siru used for steaming mochi or rice.There are not many cases of Shiru remaining in the study. The Hwabangsa Shiru is a relic that retains the typical form of the Shiru that was produced at a temple in the late Joseon Dynasty. On the back side of the slightly obliquely valgus part, the 'Hwabangsa Seoam ------' punctuation remains, and the hollow bottom cast is far higher than that made with pottery. This is because the open-cut siru communicates and transmits heat so quickly that it shortens the time to cook rice cakes or rice, as well as increases the accuracy. If you look at the examples of punctuation, it is a technique that can be seen around the beginning of the 18th century even in copper incense burners and banjas. Therefore, it is a relic that proves that it has material value in the study of copper-made furniture in the late Joseon Dynasty."
167,Namhae Hwabangsa Bara,"128-6 Hwabangsa-gil, Gohyeon-myeon, Namhae-gun, Gyeongsangnam-do",34.8645862,127.8629452,Cultural Heritage Material,Cultural Heritage Material No. 499,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Female friendship, Male friendship, Filial piety, Alone",Y,,,"A sailor's instrument that makes a sound by hitting two pieces together.Although it was produced in the 17th century as one of the Buddhist ritual instruments, both pairs show the traditional method of making Bangjja-yugi by beating brass. It is a sailing instrument that is held in both hands and made a sound by hitting it against each other. It is mainly used for special events such as Suryukjae or Yeongsanjae before the fuss and makes you feel that high-quality materials are used. Produced in 1694 (33rd year of Kangxi), it is a work with a clear history and is used with both hands using a handle. Currently, the handle is damaged and fruitful, and only one pair of fuselage is stored and managed in good condition without any damage. have."
168,Namhae Hwabangsa Dokseongtaeng,"126-6 Hwabangsa-gil, Gohyeon-myeon, Namhae-gun, Gyeongsangnam-do",34.866452,127.8626468,Cultural Heritage Material,Cultural Heritage Material No. 498,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Lover, Female friendship, Male friendship Alone",Y,,,"It is estimated that it is a work of the early 19th century compared to the works of other high priest Jinyoung's works. The fact that the arithmetic treatment technique in the background is written in a circular pattern is a unique and folktale-like piece of work, and it has value for future research on high priests' camps, folktales, and poison tanks.This poison tank is also called Naban-Ja, and it is a Buddhist painting depicting the poison contained in the Doksu Seonjeong on Mt.It is presumed that it was created at the same time as the creation of Jijangsi Wangtang, judging from the state of omitting the description of the soft quality of the firework, it appears to have been a work of 1855 (ùàù¥5). Although there is some damage, it is stored and managed in a relatively good condition."
169,Sinjungtaeng Of Namhae Hwabangsa Temple,"126-6 Hwabangsa-gil, Gohyeon-myeon, Namhae-gun, Gyeongsangnam-do",34.866452,127.8626468,Cultural Heritage Material,Cultural Heritage Material No. 497,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Lover, Female friendship, Male friendship, Filial piety, Alone",Y,,,"At the top of the screen, Jeseokcheon, and at the bottom of the screen, Dongzan Bodhisattva, the dragon king and members of the dynasty are placed on the left and right of the screen.Dark red, green, and navy blue are the main colors overall. A characteristic feature of the ritual line is that a double line is drawn partially with fine gold lines and uses a fine iron line.Like Amita Hubultang, this Shinshin Tank was created in 1860 (Ham Pung 10 years. Gyeong Shin). There is data value in the later prudential studies. It is in a slightly faded state like Amitabha Fubultang, but it is protected by a glass frame and stored in a storage room."
170,Namhae Hwabangsa Amitabha Samzontang,"126-6 Hwabangsa-gil, Gohyeon-myeon, Namhae-gun, Gyeongsangnam-do",34.866452,127.8626468,Cultural Heritage Material,Cultural Heritage Material No. 496,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Lover, Female friendship, Male friendship Alone",Y,,,"This painting was created to be enshrined in the Inbeopdang or Seungbang as the main statue, with the Buddha Amitabha with the head light and the divine light, with Gaseop and Anan on the upper left and right sides, and the lower left and right, depicting the Kannon and Jizo Bodhisattva.It's a relatively monotonous and connotative Amita Samzontang. In 1860(Ham Pung 10 years. Gyeong Shin). There is data value in the study of Amita Samzontang in the late Joseon Dynasty. It is slightly discolored, but the peeling is not severe, and it is stored and preserved in the Hwabangsa storage room."
171,Namhae Hwabangsa Amita Hubultang,"126-6 Hwabangsa-gil, Gohyeon-myeon, Namhae-gun, Gyeongsangnam-do",34.866452,127.8626468,Cultural Heritage Material,Cultural Heritage Material No. 495,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Lover, Female friendship, Male friendship Alone",Y,,,"The original background has faded due to damage from moisture for a long time, but has undergone some repairs (glass frame) and is stored in a storage room. Amitabha Fubultang was created in 1860 (Ham Pung 10 years. Gyeong Shin) at Unheungsa Temple in Waryongsan Mountain, Goseong, and the contents of it were created by Ssangun and Yeongdam Geumeo at the time of Gaegeumbulsa, the statue of the Gwaneumsang, and transferred to Hwabangsa Temple remain in the firearm. As a reminiscence of Amita created in the mid-19th century, the characteristics of the times are vivid, and it is stored in a storage for safer conservation and management in the future.It is characteristic that the raising technique is used in the expression of ritual lines and clouds, and it is of data value in the study of Amita recall."
172,Namhae Yongmunsa Temple Gonyang 2Nd Year Shin Jung Tang,"166-11 Yongmunsa-gil, Idong-myeon, Namhae-gun, Gyeongsangnam-do",34.7879404,127.9230404,Cultural Heritage Material,Cultural Heritage Material No. 353,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Lover, Female friendship, Male friendship Alone",Y,,,"In the lower center of the screen, the statue of the 12 gods is placed centered on Witaecheon, and at the upper part, Beomcheon and Jeseokcheon are placed on the left and right. As for the colors, green and blue were mainly used in addition to white and red.The body parts of Witaecheon, Beomcheon, and Jeseokcheon were painted white with a little reddish pink, and partially shaded using black ink, and the outline was treated with ink lines. Wei Tae- cheon wears armor and awinged helmet, and a leopard-patterned fur over his armor.For the leather expression, after applying light brown, the Bumpimun was expressed with light ink, and the edges were surrounded by thin white and black lines. Beomcheon and Jeseokcheonsang wear a cheonbusang robe, and wear green and blue robes on their shoulders, respectively..And in the expression of the clothes, a three-dimensional effect was given by expressing patterns, folds, and knots using the molgol method. Also, on the lower part of the bead decoration pattern or armor, the pigment was applied thickly like a real bead decoration to express a three-dimensional effect.Although this work is in rather poor condition, it was created in 1897 (Geonyang 2), and it is a 19th century Shinshin painting, relatively large in scale (194.5cm in height, 213.5cm in width), and many people This was involved, and the formativeness was excellent."
173,Namhae Yangari Stone Carving,"693 Boriam-ro, Sangju-myeon, Namhae-gun, Gyeongsangnam-do",34.7521641,127.9766483,Monument,Monument No. 6,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Alone",Y,,,"Traces of Qin Shi Huang's bureaucratic Seobok's visit to Bullocho.It is called 'Seobulgwacha (ßïã¼Î¦ó®)', but it has not been deciphered so far, so the contents are unknown. According to a legend, it is said that during the Qin Shi Huang Dynasty in China, Bangsa Seobul led 3,000 of his brothers and sisters to the east in order to save the fire candles of Samsimsan Mountain. Later generations are analyzing the Seobul-related petroglyphs (äÛÊ¾ûþ.) in various forms that have not been deciphered. Cheonggi Lee, author of Namhae, is the Khitan character, Dr. Desepande of India is the hunter, and Namseon Choi is ancient. Character theory, Jeong In-bo asserts the theory of prehistoric stone carvings, the Korea Institute of Spiritual and Cultural Research argues for prehistoric stone carvings, and Oh Se-chang asserts the Seobul Girye sunrise theory as interpreted by Chinese geologist Ha Chu-do. It is also interpreted as graphic characters, pictograms, bird-shaped line art, abstract line art, Hanwoongchulryeol Samsinchijemun, Gwiin Hunting Ground, and Seobuljemyeong. However, it is still not clear exactly what it is."
174,Namhae Yongmunsa Temple Wooden Jijang Siwang Statue,"166-11 Yongmunsa-gil, Idong-myeon, Namhae-gun, Gyeongsangnam-do",34.7879404,127.9230404,Tangible Cultural Heritage,Tangible Cultural Heritage No. 426,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Lover, Female friendship, Male friendship Alone",Y,,,"Statues of ten great kings who preside over Jizo Bodhisattva and the afterlife.The statue of Jizo Bodhisattva, whose tofu is bare, has the upper body upright and is cross-legged, and the overall appearance is voluptuous and sturdy. The physical characteristics are high knees and a wide front and back view, which adds to the stability of distrust. The name is close to a square, and it gives a soft feeling by expressing the fleshy part of the chin without being square. The venerable Domyeong of the left side holds a stone in his right hand, and the non-dokgwi king of the right side holds his hands together. The head is rather large compared to the body, and the shoulders are wide, giving him a dignified and gentle impression. All the Siwangsangs are in a posture facing the front while sitting on a chair with a backrest, armrests, and footstool, and the expression technique is almost the same. On the tofu, he wears a crown in the form of a scepter, like the image of a non-poisonous demon king, and he has a scepter in his hand, a book and a brush, or a hand on his lap. It is very humorous to laugh humorously by revealing white teeth while the corners of the mouth are raised."
175,Guksabong Shrine,"4-1 Jeokkryang-ri, Changseon-myeon, Namhae-gun, Gyeongsangnam-do",34.8741137,128.0391825,Military-Protected Cultural Heritage,Military-protected cultural Heritage No. 5,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Female friendship, Male friendship Alone",Y,,,"A place where the right amount of cheomsa gave an example of wishing for the prosperity of the country.Behind Jeokryang Village, on the summit of Guksabong Peak, 212m north of the village, there is a wooden kanwaga building about 2 pyeong. This shrine was built by Jeolryang Cheomsa and prayed for national prosperity and the king's peace on the last day of the 12th month of the lunar calendar. It used to be a warehouse, but it is also called a shrine. As Cheomsa disappeared, the villagers of Jeokryang village held ceremonies at the Guksabong Shrine. This place has been transformed into a place where the guardian deity who prays for and protects the peace of the village is enshrined. At 12 o'clock on New Year's Eve, in the village, the priests who were elected according to the rites are dedicated to enshrining the bronze statue in the belief that they have protected the village for many years."
176,Young Mother Sentence,"2-1 Hwajeon-ro 43beon-gil, Namhae-eup, Namhae-gun, Gyeongsangnam-do",34.8351121,127.8945478,Military-Protected Cultural Heritage,Military-protected cultural Heritage No. 4,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Female friendship, Male friendship Alone",Y,,,"Jeong Ryeo-moon commemorates the filial piety of the filial son Kim Baek-ryeol.The Yeongmomun Gate is the Jeongryeomun gate to leave behind the filial piety of the filial son Kim Baek-ryeol. The filial son Kim Baek-ryeol (1873-1917) had the name Uncheon. He was born as the third son of Wonju (êª ñº) and Ho Suam (áø äÜ), the godfathers of the government, and was intelligent from an early age and loved to read. He was always praised as a filial son for a long time by serving his parents with the utmost sincerity. Gyeongsang-do inspector Hwang-cheol heard the rumor and visited this place in 1909 to find out the truth. , and has been widely known around the world through commendation for filial piety more than a dozen times. In order to commemorate his filial deeds for a long time, the construction of this Jeongryeo (ïÛÕï) started in September 1925 and was completed in October of the following year. Since then, the street where Yeongmomun is located has been called the three-way intersection of Hyojamun, and his filial deeds have been passed down to the hearts of many people."
177,Bongcheonsa Tomb Maintenance,"2745 Namhae-daero, Namhae-eup, Namhae-gun, Gyeongsangnam-do",34.8323041,127.8999851,Military-Protected Cultural Heritage,Military-protected cultural Heritage No. 3,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Female friendship, Male friendship Alone",Y,,,"Rain in commemoration of Lee Yi-myeong, who was exiled twice to the South Sea.Where Lee Yi-myeong was exiled to the Yeonghae as a knight exiled, but when his father-in-law, Seopo Kim Man-jung, died in exile in the Namhae, he was exiled to the Namhae in the 18th year of King Sukjong (1692). In 1721 (the first year of King Gyeongjong), King Gyeongjong was ill and he tried to clean up the Crown Prince Yeongjo by proxy. Lee Yi-myeong, who was exiled, repaired the house where he was exiled 29 years ago and taught the scholars the study of filial piety. Lee Yi-myeong, who was exiled in the South Sea, was arrested for conspiracy by Mok Hor-ryong, who was accused of conspiring to be crowned king in the South Sea. Knowing this, the people of Namhae Hyangsa grieved as if they had lost their parents. In 1800 (24th year of King Jeongjo), hyangsa priests of Namhae worked together with the people of Jinju to build a shrine 2 to 3 ri away from the old site of Seokgamjae, where Lee Yi-myeong stayed in Namhae, and the Yeongjeong was enshrined in Noryangjin Shrine, Hanyang. They brought it and enshrined it and called it Bongcheonsa. The tomb of Bongcheonsa Temple was written by Kim Jo-sun and written by Kim Nan-soon. The Myojeongbi was erected in 1828 (28th year of King Sunjo), 28 years after the shrine was built. This monument, which was erected more than 100 years after Lee Yi-myeong's death, appears to have been located at the tomb of Bongcheonsa Temple. It is unknown when the shrine disappeared, and it was moved to the Namhae Exile Literature Museum, which was located at 430 Bukbyeon-ri, Namhae-eup. The total height is 286 cm, the height is 220 cm, the width is 83.4 cm, and the thickness is 32.5 cm."
178,Jaam Kim Gu Yuheo Memorial Monument,"27 Noryang-ro 183beon-gil, Seolcheon-myeon, Namhae-gun, Gyeongsangnam-do",34.9419198,127.875899,Military-Protected Cultural Heritage,Military-protected cultural Heritage No. 2,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship Alone",Y,,,"A monument commemorating Jaam Kim Gu, the 4th generation calligrapher of the early Joseon Dynasty who wrote ¡°Hwajeonbyeolgok¡± during his 12 years of exile in the South Sea.Jaam Kim Gu (ÑÑÏ½, 1488-1534) was a Moonshin during the reign of King Jungjong of the Joseon Dynasty and was one of the four great calligraphers in the early Joseon Dynasty, the son of Gyemun of Daeheunghyeongam. Kim Gu¡¯s character is Dae-yu (ÓÞêõ), and his pen name is Ja-am (í»äà). In 1513 (8th year of King Jungjong), Jaam passed the Byeolsimun and Eulgwa exams and ascended to the Hongmungwan Bujehak. For many years, he lived in the right place in Noryang. At this time, ¡¸Hwajeonbyeolgok¡¹, which can be called the anthem of Namhae, was written in Gyeonggi font, and not only had close friendships with Yurim in the Samnam area and the hyangsa of Namhae area, but also the name of Hyangsa of Namhae, who was close, is also mentioned in ¡ºJaamjip¡». Jaam Kim Gu was pardoned and reinstated in the 28th year of King Jungjong's reign (1533), but he passed away in 1534 the following year at the age of 47, and was honored by Leejochampan. In the 30th year of King Sukjong¡¯s reign (1704), Kim Manhwa, the 6th descendant of Kim Gu, was appointed as Hyeonryeong in Namhae to search for traces of his ancestors and erected a monument at the old site. However, in the first year of King Gojong (1864), the Jukrim Seowon was demolished according to the abolition of Seodang and Hyangsa in Daewongun. The total height of the rain is 276 cm, the height of the bishin is 190 cm, the width is 90 cm, and the thickness is 34 cm."
179,Namhae Moominsa,"14-11 Namhae-daero, Mijo-myeon, Namhae-gun, Gyeongsangnam-do",34.7171628,128.0416303,Military-Protected Cultural Heritage,Military-protected cultural Heritage No. 1,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship Alone",Y,,,"In 1595, an old man appeared in a dream of Seong Yun-moon, a prefecture of Mijohang, and told him to take care of the general because his camp was on the coast. After waking up, Cheomsa sent Bongjang-gun (the chief of the guard) to search for it. Bong Jang-gun found the wooden chest and opened it to find General Choi Young's camp, nameplate, and Jangdo. Cheomsa Temple was built on the top of the mountain where it was discovered and enshrined the portrait of General Choi Young.Then, one day, a strong wind destroyed the mortuary, and a young man flew to the present site and built a shrine there and called it Janggundang. After that, in order to reconstruct what was lost due to a fire of unknown age, the Conservation Society was formed in 1954 and decided to reconstruct the temple.A funeral ceremony was held on August 22nd of the lunar calendar in 1955, and General Moomingong Choi Young was enshrined on September 9th of the lunar calendar in 1960. As the first president, Hong-Ju Lee founded the Memorial Association and set the mid-march day of the lunar month as the day of ancestral rites. In 1969, he oriented the Choi Hull of the Army. Since 2008, the festival date has been changed to April 13. The shrine has three kans on the front and two kans on the side, with a wooden wagashi roof, and there are inner three gates, outer three gates, and a gwansasa as an accessory, and there are seven selection monuments."
180,"Wooden Avalokitesvara Bodhisattva Seated In Boriam, Namhae","665 Boriam-ro, Sangju-myeon, Namhae-gun, Gyeongsangnam-do",34.7523634,127.9829942,Tangible Cultural Heritage,Tangible Cultural Heritage No. 575,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship Alone",Y,,,"A work of the 17th century that inherited the characteristics of the Joseon Dynasty.Namhae Boriam Wooden Seated Guanyin Bodhisattva Blindfold is a work in the form of an independent Gwaneum Bodhisattva and the dragon king co-operated with Seonjae-dongja Yongwang. Currently, the upper part of the blank has disappeared and the remaining form is not complete, but this form was popular from the 17th to the 19th century, starting with the collection of the Dongguk University Museum in Seoul (1637-1644). The Bodhisattva Bodhisattva Gwaneum statue is judged to be a work of the late 17th century of the Joseon Dynasty, which inherited the characteristics of the Joseon Dynasty, such as plump cheeks, no bodhisattva, and the hem of the symmetrical soft plate. Therefore, it has academic value as an important Buddhist statue with high material value, such as the fact that it has the iconographic characteristics of the three gods of the Gwaneum Bodhisattva co-ordinated by the Dragon King and the Seonjae-dong, the wooden black-and-white form with few examples, and the production period estimated in the 17th century."
181,Namhae Hwabangsa Bronze Banja,"128-6 Hwabangsa-gil, Gohyeon-myeon, Namhae-gun, Gyeongsangnam-do",34.8645862,127.8629452,Tangible Cultural Heritage,Tangible Cultural Heritage No. 505,055-860-8631,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Female friendship, Male friendship Alone",Y,,,"A Buddhist temple that summons the masses or announces urgent matters.The round bronze banja is called a gold gu (ÑÑÏ¢) or a golden banquet (ÑÑÍÕ), and it is a kind of cripple used to summon the public or inform urgent matters. Hwabangsa Banja followed the general format with an empty back. The part hit with a danmok (ÓÕÙÊ) was worn out, but it is estimated that it was done twice or more from the internal repair marks. Looking at the characteristics of the half-jaw, the front face is divided into two sets of raised stone bands with concentric circles, the inner and outer ones. There is no pattern on the inner sphere, and only the outer sphere has a diameter of 7.8 cm and is divided into four parts. However, the Yongmunsa Banja lacks dignity or refinement, so it seems to have been built later than the Hwabangsa Banja. On the side of the banja, 4 sets of raised protrusions rotate like the front side, and the front three protrusions are rotated to narrow the distance between each other and the last stone stand to be wide."
